NAME,MASS,R,A,PER,MULT,DENSITY
HAT-P-3 b,189.3271692,10.07687368,0.0388252,2.899703,0,1.02
Kepler-41 b,156.8567995,9.426752795,0.0289537,1.855558,0,1.02
Kepler-428 b,403.6270965,12.10569919,0.0432987,3.52563254,0,1.02
HAT-P-23 b,666.1626866,15.33388564,0.0231971,1.212884,0,1.01
TrES-3 b,607.0297278,14.97519826,0.0227178,1.30619,0,0.994
CoRoT-11 b,746.2747198,16.02884245,0.0440549,2.99433,0,0.99
WASP-47 b,361.1858662,12.89032784,0.0520112,4.1591399,0,0.9842
HD 189733 b,363.4550768,12.75582007,0.0309953,2.21857567,0,0.963
KELT-2 A b,483.284652,14.41474922,0.0549707,4.1137912,0,0.948085
OGLE-TR-182 b,325.6031184,12.66614823,0.0513517,3.9791,0,0.9415
Kepler-15 b,210.5315757,10.7606215,0.0571382,4.942782,0,0.93
WASP-2 b,288.7869243,12.07207225,0.0312729,2.1522254,0,0.92
Qatar-1 b,346.353365,13.04725357,0.0234308,1.420033,0,0.9177
WASP-11 b,171.5431051,10.20017247,0.0436466,3.722465,0,0.9177
WASP-97 b,419.5179271,12.66614823,0.0330527,2.07276,0,0.91
XO-4 b,509.3138325,14.90794437,0.05524,4.1250828,0,0.903229
Kepler-5 b,672.7001742,16.04005143,0.0506416,3.54846,0,0.894
HAT-P-37 b,372.9959315,13.2041793,0.0379273,2.79736,0,0.89
HAT-P-7 b,569.400241,15.27784074,0.037964,2.204737,0,0.876
WASP-45 b,319.9046666,13.00241765,0.0405459,3.1260876,0,0.8512
HATS-9 b,266.0125038,11.93756448,0.0304899,1.9153073,0,0.85
OGLE-TR-132 b,375.0236015,13.45077688,0.0303507,1.689868,0,0.85
WASP-95 b,359.1327709,13.56286668,0.0341288,2.184673,0,0.85
WASP-64 b,404.0625053,14.24661451,0.0265195,1.5732918,0,0.820794
TrES-2 b,381.6055835,13.71979241,0.0355765,2.47063,0,0.813
HAT-P-49 b,549.692433,15.83828977,0.0437742,2.691548,0,0.812942
HAT-P-27 b,196.2469903,11.43316035,0.0399488,3.039577,0,0.771559
