NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
HATS-3b,0.0485119,3.547851,0,1.0735,1.381,1.209,1.404,9.12
Kepler-101b,0.0450089,3.487691,,0.115399,0.523686,,1.666,
Kepler-362b,0.0928099,10.327186,,0.0018494,0.0785083,,0.722,
Kepler-301b,0.0361317,2.508553,,0.00829825,0.120439,,0.9,
Kepler-403b,0.0718296,7.031462,,0.00638668,0.111518,,1.329,
Kepler-207d,0.0636703,5.868075,,0.032872,0.295298,,1.588,
Kepler-345b,0.0744222,7.415563,,0.00100422,0.0660184,,0.623,
Kepler-141c,0.0716875,7.010606,,0.00960182,0.125792,,0.787,
WASP-4b,0.0230406,1.3382299,0,1.22311,1.341,0.91,0.914,2.2
Kepler-141b,0.041677,3.107675,,0.000786457,0.0615577,,0.787,
HD330075b,0.0392074,3.38773,0,0.623724,,0.7,1.20726,
Kepler-256e,0.0949212,10.681572,,0.0179955,0.209653,,1.301,
Kepler-189b,0.0932453,10.399931,,0.0057099,0.107949,,0.75,
Kepler-101c,0.0648349,6.029809,,0.00789025,0.118655,,1.666,
Kepler-81c,0.0885967,12.04,,0.0181548,0.211,0.64,0.59,
WASP-94Bb,0.0334746,2.00839,0,0.619839,,1.24,1.35,0
Kepler-208c,0.0747634,7.466623,,0.00915403,0.124008,,1.314,
Kepler-75b,0.0807413,8.884924,0.569,9.98479,1.03,0.88,0.88,3.5
Kepler-326c,0.0539767,4.580358,,0.00937625,0.1249,,0.801,
Kepler-249c,0.0723886,7.113702,,0.0120453,0.134713,,0.482,
Kepler-15b,0.0571382,4.942782,0.133933,0.662431,0.96,1.018,0.992,2
Kepler-317b,0.0611582,5.524242,,0.0155228,0.186457,,0.941,
Kepler-343b,0.0844802,8.96855,,0.0186399,0.215006,,1.433,
CoRoT-16b,0.0617874,5.35227,0.33,0.537982,1.17,1.098,1.19,0.5
Kepler-98b,0.0260305,1.54168,0,0.0111695,0.177536,0.99,1.11,0.5
Kepler-192b,0.090395,9.926746,,0.0227766,0.244446,,1.007,
Kepler-339c,0.0715337,6.988055,,0.00478497,0.102596,,0.802,
WASP-59b,0.0696866,7.919585,0.1,0.859095,0.775,0.719,0.613,2.3
WASP-54b,0.049881,3.6936411,0.067,0.63273,1.653,1.213,1.828,4
HAT-P-8b,0.0449613,3.076337,0,1.29336,1.5,1.28,1.58,11.5
Kepler-446b,0.0159282,1.565409,0,0.0115145,0.137,0.22,0.24,
WASP-15b,0.0499436,3.7521,0,0.542797,1.379,1.18,1.477,4
Kepler-425b,0.0464979,3.79701816,0,1,0.978,0.93,0.86,3
Kepler-445b,0.022904,2.984151,0,0.0120099,0.144,0.18,0.21,
XO-4b,0.05524,4.1250828,0,1.60254,1.33,1.32,,8.9
